Marka_i_model	Rok_produkcji	Cena_zakupu	Nr_rejestracyjny	Przebieg	Data_ostatniego_remontu	marka			
Iveco Strails	2006	85900	ERA 210 TR	1200655	42035	Iveco		Etykiety wierszy	Liczba z Marka_i_model
Iveco Strails	2006	85900	ERA 211 TR	1068570	42029	Iveco		DAF	30
Iveco Strails	2006	85900	ERA 212 TR	998704	42028	Iveco		2009	2
Iveco Strails	2006	85900	ERA 213 TR	936780	42028	Iveco		2010	4
Iveco Strails	2006	85900	ERA 209 TR	870233	42034	Iveco		2011	2
Mercedes Axor	2007	205000	ERA 223 TR	1260000	42483	Mercedes		2012	8
MAN TGA	2007	198000	ERA 217 TR	890200	42520	MAN		2013	11
Volvo FE	2008	49411	ERA 095 TR	186000	42210	Volvo		2014	3
Volvo FM	2008	58000	ERA 093 TR	306000	42271	Volvo		Iveco	12
Volvo FMX	2008	84000	ERA 094 TR	266000	42382	Volvo		2006	5
Volvo FH	2008	89000	ERA 092 TR	305000	42075	Volvo		2009	2
Volvo FE	2009	48411	ERA 097 TR	190000	42210	Volvo		2010	2
Iveco 100E	2009	68000	ERA 114 TR	992600	42157	Iveco		2012	3
Volvo FE	2009	49411	ERA 108 TR	186000	42210	Volvo		MAN	18
Scania L94	2009	67900	ERA 100 TR	850000	42194	Scania		2007	1
Volvo FE	2009	65000	ERA 101 TR	740000	42385	Volvo		2009	4
Scania L94	2009	68900	ERA 111 TR	846000	42194	Scania		2010	2
Volvo FM	2009	59000	ERA 120 TR	302000	42271	Volvo		2012	3
Renault Premium	2009	77000	ERA 110 TR	846000	42376	Renault		2013	3
Mercedes Atego	2009	85000	ERA 112 TR	946000	42014	Mercedes		2014	5
Scania M93	2009	79000	ERA 102 TR	390000	42379	Scania		Mercedes	17
Scania M93	2009	79000	ERA 302 TR	390000	42379	Scania		2007	1
Volvo FMX	2009	83000	ERA 096 TR	270000	42382	Volvo		2009	4
Iveco EuroCargo	2009	86133	ERA 104 TR	380000	42208	Iveco		2010	4
Volvo FH	2009	90000	ERA 119 TR	301000	42075	Volvo		2011	4
Mercedes Atego	2009	91000	ERA 106 TR	360000	42174	Mercedes		2012	1
MAN TGL	2009	114400	ERA 117 TR	226000	42073	MAN		2014	1
Volvo FL	2009	134000	ERA 098 TR	482000	42385	Volvo		2015	2
Volvo FL	2009	135000	ERA 109 TR	478000	42385	Volvo		Renault	17
DAF LF45	2009	131780	ERA 115 TR	306000	42365	DAF		2009	2
MAN TGL	2009	159000	ERA 113 TR	403000	42681	MAN		2010	6
Renault Premium	2009	162800	ERA 107 TR	370000	42329	Renault		2011	6
MAN TGA41	2009	168800	ERA 116 TR	186300	42272	MAN		2012	3
MAN TGA33	2009	195370	ERA 105 TR	290000	42467	MAN		Scania	17
DAF CF85	2009	195340	ERA 103 TR	190000	42278	DAF		2009	4
Mercedes Sided	2009	230000	ERA 099 TR	305000	42307	Mercedes		2011	6
Mercedes Actros	2009	291000	ERA 118 TR	166000	42297	Mercedes		2012	5
DAF LF45	2010	37000	ERA 132 TR	978000	42309	DAF		2013	2
DAF LF45	2010	40830	ERA 142 TR	326000	42062	DAF		Volvo	23
Volvo FE	2010	66000	ERA 145 TR	736000	42385	Volvo		2008	4
Renault Midlum	2010	60000	ERA 146 TR	99250	42226	Renault		2009	8
Mercedes Atego	2010	84000	ERA 135 TR	950000	42029	Mercedes		2010	2
Iveco 100E	2010	67000	ERA 136 TR	103260	42157	Iveco		2012	4
Renault D10	2010	75300	ERA 141 TR	302000	42174	Renault		2015	5
Volvo FMX	2010	84000	ERA 340 TR	266000	42382	Volvo		Suma koñcowa	134
Mercedes Atego	2010	92000	ERA 147 TR	356000	42174	Mercedes			
MAN TGL	2010	89000	ERA 394 TR	266000	42382	MAN			
DAF CF75	2010	94000	ERA 143 TR	91000	42268	DAF			
MAN TGL	2010	113400	ERA 140 TR	230000	42073	MAN			
DAF CF65	2010	135000	ERA 133 TR	251000	42067	DAF			
Iveco TrakkerEuro5	2010	160000	ERA 214 TR	263000	42028	Iveco			
Renault Magnum	2010	265000	ERA 227 TR	930000	42236	Renault			
Renault Magnum	2010	265000	ERA 228 TR	912000	42236	Renault			
Renault Magnum	2010	265000	ERA 226 TR	856000	42236	Renault			
Renault Premium	2010	230000	ERA 131 TR	455000	42439	Renault			
Mercedes Sided	2010	231000	ERA 144 TR	301000	42307	Mercedes			
Mercedes Actros	2010	257000	ERA 134 TR	164700	42286	Mercedes			
DAF LF45	2011	38000	ERA 161 TR	574000	42309	DAF			
Renault R385	2011	56700	ERA 158 TR	290000	42236	Renault			
Renault R385	2011	57700	ERA 160 TR	286000	42236	Renault			
Renault Midlum	2011	59000	ERA 159 TR	103250	42226	Renault			
Renault D10	2011	74300	ERA 157 TR	306000	42174	Renault			
Mercedes Actros	2011	210000	ERA 221 TR	780000	42481	Mercedes			
Mercedes Actros	2011	210000	ERA 225 TR	760300	42481	Mercedes			
Mercedes Actros	2011	210000	ERA 220 TR	680000	42481	Mercedes			
Mercedes Actros	2011	210000	ERA 222 TR	655000	42481	Mercedes			
Renault Pelen	2011	220000	ERA 230 TR	731000	42236	Renault			
Renault Pelen	2011	220000	ERA 229 TR	685413	42236	Renault			
DAF CF85	2011	196340	ERA 162 TR	186000	42278	DAF			
Scania R500	2011	245000	ERA 237 TR	720000	42462	Scania			
Scania R500	2011	245000	ERA 236 TR	680000	42462	Scania			
Scania R500	2011	245000	ERA 238 TR	660000	42462	Scania			
Scania R500	2011	245000	ERA 240 TR	630000	42462	Scania			
Scania R500	2011	245000	ERA 241 TR	655000	42462	Scania			
Scania R500	2011	245000	ERA 239 TR	590000	42462	Scania			
DAF LF45	2012	39830	ERA 168 TR	330000	42062	DAF			
DAF LF45	2012	48800	ERA 175 TR	268650	42117	DAF			
Volvo FM	2012	59000	ERA 173 TR	302000	42271	Volvo			
Renault Premium	2012	76000	ERA 166 TR	850000	42376	Renault			
Iveco EuroCargo	2012	87133	ERA 176 TR	376000	42208	Iveco			
Volvo FH	2012	110000	ERA 172 TR	201000	42075	Volvo			
DAF LF45	2012	130780	ERA 169 TR	310000	42365	DAF			
MAN TGL	2012	135502	ERA 170 TR	247000	42476	MAN			
Iveco STRALIS	2012	145000	ERA 215 TR	386732	42059	Iveco			
Iveco STRALIS	2012	145000	ERA 216 TR	312680	42059	Iveco			
Renault Premium	2012	163800	ERA 178 TR	366000	42329	Renault			
Scania R420	2012	183000	ERA 232 TR	520000	42444	Scania			
Scania R420	2012	183000	ERA 233 TR	530000	42444	Scania			
Scania R420	2012	183000	ERA 231 TR	490000	42444	Scania			
Scania R420	2012	183000	ERA 234 TR	481000	42444	Scania			
Scania R420	2012	183000	ERA 235 TR	454000	42444	Scania			
Volvo FH13-500	2012	210000	ERA 248 TR	517000	42415	Volvo			
MAN TGA33	2012	196370	ERA 177 TR	286000	42467	MAN			
Volvo FH13-500	2012	210000	ERA 247 TR	435000	42415	Volvo			
MAN TGX	2012	210300	ERA 218 TR	417671	42520	MAN			
Renault Premium	2012	231000	ERA 174 TR	451000	42439	Renault			
DAF XF460	2012	240000	ERA 207 TR	301344	42185	DAF			
DAF XF460	2012	240000	ERA 405 TR	315988	42185	DAF			
DAF XF460	2012	240000	ERA 204 TR	234760	42185	DAF			
DAF XF460	2012	240000	ERA 208 TR	210780	42185	DAF			
DAF XF460	2012	240000	ERA 406 TR	198240	42185	DAF			
Mercedes Actros	2012	290000	ERA 171 TR	170000	42297	Mercedes			
DAF LF45	2013	47800	ERA 183 TR	272650	42117	DAF			
Scania M93	2013	80000	ERA 388 TR	350000	42379	Scania			
Scania M93	2013	80000	ERA 188 TR	235000	42379	Scania			
DAF CF75	2013	93000	ERA 184 TR	195000	42268	DAF			
DAF CF65	2013	136000	ERA 186 TR	247000	42067	DAF			
MAN TGL	2013	158000	ERA 185 TR	407000	42681	MAN			
DAF XF460	2013	240000	ERA 199 TR	301232	42719	DAF			
DAF XF460	2013	240000	ERA 198 TR	289567	42719	DAF			
DAF XF460	2013	240000	ERA 200 TR	245211	42719	DAF			
DAF XF460	2013	240000	ERA 201 TR	200123	42719	DAF			
DAF XF460	2013	240000	ERA 496 TR	235811	42719	DAF			
DAF XF460	2013	240000	ERA 497 TR	250021	42719	DAF			
DAF XF460	2013	240000	ERA 202 TR	198340	42719	DAF			
DAF XF460	2013	240000	ERA 203 TR	189761	42719	DAF			
MAN TGS	2013	271000	ERA 187 TR	153000	42334	MAN			
MAN TGS	2013	271000	ERA 219 TR	123000	42520	MAN			
MAN TGA18	2014	98000	ERA 193 TR	251000	42344	MAN			
MAN TGA18	2014	99000	ERA 195 TR	247000	42344	MAN			
MAN TGL	2014	136502	ERA 197 TR	243000	42476	MAN			
MAN TGA41	2014	167800	ERA 194 TR	190300	42272	MAN			
Mercedes Atego	2014	219000	ERA 196 TR	126290	42083	Mercedes			
DAF XF460	2014	240000	ERA 393 TR	183788	42681	DAF			
DAF XF460	2014	240000	ERA 494 TR	160198	42681	DAF			
DAF XF460	2014	240000	ERA 495 TR	156724	42681	DAF			
MAN TGS	2014	270000	ERA 192 TR	157000	42334	MAN			
Mercedes Atego	2015	218000	ERA 205 TR	130290	42083	Mercedes			
Mercedes Actros	2015	258000	ERA 206 TR	160700	42286	Mercedes			
Volvo 2015Euro6M	2015	360000	ERA 242 TR	100000	42734	Volvo			
Volvo 2015Euro6M	2015	360000	ERA 243 TR	115000	42734	Volvo			
Volvo 2015Euro6M	2015	360000	ERA 244 TR	132000	42734	Volvo			
Volvo 2015Euro6M	2015	360000	ERA 245 TR	108000	42734	Volvo			
Volvo 2015Euro6M	2015	360000	ERA 246 TR	140000	42734	Volvo			
