Data	retencja	czy_pada 	dzien_tygodnia	podlewanie	dzienne_zuzycie	podlewanie	zuzycie_suma	stan_zbiornika	brakujaca_ilosc_wody	liczba_dni_w_ktorych_zabraklo
1/1/2022	0	0	6	0	190	0	190	4810	0	0
1/2/2022	0	0	7	0	190	0	190	4620	0	0
1/3/2022	0	0	1	0	190	0	190	4430	0	0
1/4/2022	0	0	2	0	190	0	190	4240	0	0
1/5/2022	0	0	3	0	260	0	260	3980	0	0
1/6/2022	0	0	4	0	190	0	190	3790	0	0
1/7/2022	0	0	5	0	190	0	190	3600	0	0
1/8/2022	41	1	6	0	190	0	190	3451	0	0
1/9/2022	79	1	7	0	190	0	190	3340	0	0
1/10/2022	163	1	1	0	190	0	190	3313	0	0
1/11/2022	259	1	2	0	190	0	190	3382	0	0
1/12/2022	368	1	3	0	260	0	260	3490	0	0
1/13/2022	45	1	4	0	190	0	190	3345	0	0
1/14/2022	0	0	5	0	190	0	190	3155	0	0
1/15/2022	0	0	6	0	190	0	190	2965	0	0
1/16/2022	0	0	7	0	190	0	190	2775	0	0
1/17/2022	0	0	1	0	190	0	190	2585	0	0
1/18/2022	0	0	2	0	190	0	190	2395	0	0
1/19/2022	0	0	3	0	260	0	260	2135	0	0
1/20/2022	0	0	4	0	190	0	190	1945	0	0
1/21/2022	0	0	5	0	190	0	190	1755	0	0
1/22/2022	0	0	6	0	190	0	190	1565	0	0
1/23/2022	33	1	7	0	190	0	190	1408	0	0
1/24/2022	75	1	1	0	190	0	190	1293	0	0
1/25/2022	537	1	2	0	190	0	190	1640	0	0
1/26/2022	826	1	3	0	260	0	260	2206	0	0
1/27/2022	26	1	4	0	190	0	190	2042	0	0
1/28/2022	0	0	5	0	190	0	190	1852	0	0
1/29/2022	0	0	6	0	190	0	190	1662	0	0
1/30/2022	0	0	7	0	190	0	190	1472	0	0
1/31/2022	0	0	1	0	190	0	190	1282	0	0
2/1/2022	0	0	2	0	190	0	190	1092	0	0
2/2/2022	0	0	3	0	260	0	260	832	0	0
2/3/2022	0	0	4	0	190	0	190	642	0	0
2/4/2022	0	0	5	0	190	0	190	452	0	0
2/5/2022	97	1	6	0	190	0	190	359	0	0
2/6/2022	0	0	7	0	190	0	190	169	0	0
2/7/2022	99	1	1	0	190	0	190	78	0	0
2/8/2022	0	0	2	0	190	0	190	0	112	1
2/9/2022	0	0	3	0	260	0	260	0	260	1
2/10/2022	0	0	4	0	190	0	190	0	190	1
2/11/2022	97	1	5	0	190	0	190	0	93	1
2/12/2022	83	1	6	0	190	0	190	0	107	1
2/13/2022	77	1	7	0	190	0	190	0	113	1
2/14/2022	195	1	1	0	190	0	190	5	0	0
2/15/2022	145	1	2	0	190	0	190	0	40	1
2/16/2022	90	1	3	0	260	0	260	0	170	1
2/17/2022	0	0	4	0	190	0	190	0	190	1
2/18/2022	0	0	5	0	190	0	190	0	190	1
2/19/2022	93	1	6	0	190	0	190	0	97	1
2/20/2022	0	0	7	0	190	0	190	0	190	1
2/21/2022	0	0	1	0	190	0	190	0	190	1
